Country,Lat,Lon
United Kingdom,55.378051,-3.435973
New Zealand,-40.900557,174.885971
China,35.86166,104.195397
India,20.593684,78.96288
Philippines,12.879721,121.774017
Vietnam,14.058324,108.277199
Italy,41.87194,12.56738
South Africa,-30.559482,22.937506
Malaysia,4.210484,101.975766
Scotland,56.8169184,-4.182649269
Sri Lanka,7.873054,80.771797
Germany,51.165691,10.451526
Greece,39.074208,21.824312
South Korea,35.907757,127.766922
United States of America,37.09024,-95.712891
Hong Kong,22.396428,114.109497
Lebanon,33.854721,35.862285
Ireland,53.41291,-8.24389
Indonesia,-0.789275,113.921327
Netherlands,52.132633,5.291266
